Position, Company, Location, Job Type, URL
Freelance React Native App at Base, Contra, Anywhere in the World, Contract, https://weworkremotely.com/remote-jobs/contra-freelance-react-native-app-at-base
Senior Full Stack Developer (React.js - Next.js): 100% Remote, Proxify AB, Latin America Only/Europe Only/EMEA Only, Full-Time, https://weworkremotely.com/remote-jobs/proxify-ab-senior-full-stack-developer-react-js-next-js-100-remote
Senior React Native Developer: Long-term job - 100% remote, Proxify AB, Latin America Only/Europe Only/EMEA Only, Full-Time, https://weworkremotely.com/remote-jobs/proxify-ab-senior-react-native-developer-long-term-job-100-remote
Senior Open Source Developer & DevOps (Python Django React AWS/OpenStack), OpenCraft, Anywhere in the World, Full-Time, https://weworkremotely.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
Senior Fullstack Javascript (React & Node.js) Engineer, Whitespectre, Latin America Only/Europe Only, Full-Time, https://weworkremotely.com/remote-jobs/whitespectre-senior-fullstack-javascript-react-node-js-engineer
(Fresh Graduates Welcomed) Web/Mobile Application Developer (Urgent) (Up to 50K), ManpowerGroup Hong Kong, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/fresh-graduates-welcomed-web-mobile-application-developer-urgent-up-to-50k-at-manpowergroup-hong-kong-3691402281?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=yZQwiaKTrliqZFAHl%2FN2%2FA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Front-end Developer (React Double pay), FRG Technology Consulting, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/front-end-developer-react-double-pay-at-frg-technology-consulting-3674250614?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=OwiQnIIR7gDc23HCtoJ%2BKQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer, Wati, Tsim Sha Tsui Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/software-engineer-at-wati-3683743425?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=LCcalfG8FZzfv7e7bo6iAA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Lead Frontend Engineer, Clover Health, Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/lead-frontend-engineer-at-clover-health-3656921385?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=ZLyUwv77FW3FE1CKFUCDHA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Web / Mobile Application Developer (Fresh Graduate welcome) Up to 60K, ManpowerGroup Hong Kong, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/web-mobile-application-developer-fresh-graduate-welcome-up-to-60k-at-manpowergroup-hong-kong-3675574609?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=PGzOWNYiXz%2FfWKplksMT9Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Frontend Developer: React Next.js TypeScript - Freelance [Remote], Braintrust, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/frontend-developer-react-next-js-typescript-freelance-remote-at-braintrust-3689769784?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=f8L3vL3gs5kRZJ4xbz%2B6wg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Assistant Manager Web Development(Frontend), Shure Incorporated, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/assistant-manager-web-development-frontend-at-shure-incorporated-3629643207?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=V5ST4iE8I7AL8M9wnHj1JQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Web / Mobile Application Developer (Fresh Graduate welcome) 20K-60K, ManpowerGroup Hong Kong, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/web-mobile-application-developer-fresh-graduate-welcome-20k-60k-at-manpowergroup-hong-kong-3660518929?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=XMXvZqL7hdUqesqgFaRD0Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Front-End Developer, Landor & Fitch, Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/senior-front-end-developer-at-landor-fitch-3623188030?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=1AUXjK27IZV6gW%2BwmQizzA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Frontend Developer, Global Job Services - Game Job Remote, Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/senior-frontend-developer-at-global-job-services-game-job-remote-3690524075?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=yjJ1bvqZf49O%2BWUlo9G3lQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Web / Mobile Application Developer 20K-60K (Fresh Graduate welcome), ManpowerGroup Hong Kong, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/web-mobile-application-developer-20k-60k-fresh-graduate-welcome-at-manpowergroup-hong-kong-3687038871?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=3rh3v0qZvu1HFP%2BLFb0gpA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Lead Frontend Engineer -  Wealth management platform, Captar Partners, Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/lead-frontend-engineer-wealth-management-platform-at-captar-partners-3686351946?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=mVIlgZjvPozfEF62Vafy%2BA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Technology -Frontend Software Engineer, Accenture, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/technology-frontend-software-engineer-at-accenture-3345839905?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=qtIXsgJ3fg02ANAcdghqDw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Full-stack Programmer (React.JS C# Node.JS) - up to 50k, Links International, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/full-stack-programmer-react-js-c%23-node-js-up-to-50k-at-links-international-3670527122?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=7Aaz%2BcwpbnQHoSKxkE5ebg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Head of Engineering, Blackpanda, Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/head-of-engineering-at-blackpanda-3672455994?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=7I00Y9BvqTRDmK88T3gGZw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Fullstack Developer, Pinpoint Asia, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/fullstack-developer-at-pinpoint-asia-3687456066?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=jqftwBCa5o6%2BmlKiPwxKFw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer Intern, CICC, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/software-engineer-intern-at-cicc-3684932643?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=iM5dgt4OY8ds2%2BKlxVt70g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Solutions Development Lead, Otto International, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/solutions-development-lead-at-otto-international-3670820815?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=jWlhHA%2F0Uy0%2FZ3KyPg1tJA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Head of Engineering Full-Stack, Career x Talent Solutions (Pte. Ltd.) EA License No: 20C0257, Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/head-of-engineering-full-stack-at-career-x-talent-solutions-pte-ltd-ea-license-no-20c0257-3690536937?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=lw%2Bp%2BbqkLpC1c6xnqqP2xw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Web / Java/ Mobile Application Developer (Fresh Graduate welcome) (20K-55K), ManpowerGroup Hong Kong, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/web-java-mobile-application-developer-fresh-graduate-welcome-20k-55k-at-manpowergroup-hong-kong-3605240763?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=79WUEFJ%2BeV4paxYwn3xeOQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
(Fresh Grad Welcome) Programmer/ Analyst Programmer (Web/ Java/ Mobile App/ C#) (20K-55K nego), ManpowerGroup Hong Kong, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/fresh-grad-welcome-programmer-analyst-programmer-web-java-mobile-app-c%23-20k-55k-nego-at-manpowergroup-hong-kong-3685231129?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=1VLnStuuv0skv3mrSbIzoA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer, Links International, Wan Chai District Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/software-engineer-at-links-international-3603227643?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=A9I3KOiDC1wOcURHxFd6Hw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
(Fresh Grad Open/ 18K to 60K) Full-Stack Development (JAVA / NodeJS / C# / PHP), ManpowerGroup Hong Kong, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/fresh-grad-open-18k-to-60k-full-stack-development-java-nodejs-c%23-php-at-manpowergroup-hong-kong-3660523356?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=u6AMuhFOyM4Gl8KHErRYHg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Technology - Frontend Software Engineer (Angular), Accenture, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/technology-frontend-software-engineer-angular-at-accenture-3383001508?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=VpUm1QIlPqcD0fEkIYKtsw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
(Junior) Full Stack - Java Developer (Fresh graduate are welcome), Morgan McKinley, Hong Kong Hong Kong SAR, N/A, https://hk.linkedin.com/jobs/view/junior-full-stack-java-developer-fresh-graduate-are-welcome-at-morgan-mckinley-3668514897?refId=7KN60UBgr3asI3TkjYbnBw%3D%3D&trackingId=4WANtRJINbdgup2xpmDUFA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
